student_id,session_id,timestamp,cours_id,time_spent_minutes,pages_visited,video_watched_percent,click_events,notes_taken,forum_posts,revisit_flag,quiz_score,attempts_taken,assignment_score,feedback_rating,days_since_last_activity,cumulative_quiz_score,learning_trend,attention_score,feedback_type,next_module_prediction,success_label,session_id_unified
S0001,S0001_S20,2024-03-08 15:43:00,MATH101,43.0034514799654,2,36.411905898314174,14,1,1,0,74,2,81,5,5,1527,76.35,0.12,good_progress,ENG101,1,SID_00020
S0001,S0001_S21,2024-02-08 13:26:00,ENG101,28.758676111183405,6,88.50852044869346,40,0,1,0,90,3,76,2,8,1617,77.0,0.21,good_progress,MATH101,1,SID_00021
S0001,S0001_S22,2024-01-04 01:52:00,ENG101,40.96329789541089,4,61.614724398229015,49,1,0,1,57,3,93,3,9,1674,76.09,0.19,revise_prev_topic,MATH101,0,SID_00022
S0001,S0001_S23,2024-02-23 15:57:00,CS101,33.57787360348284,2,84.01961315920586,18,0,2,1,79,1,82,4,9,1753,76.22,0.2,practice_more,SCI101,1,SID_00023
S0001,S0001_S24,2024-04-24 02:45:00,PHY101,24.440551022253825,4,66.80662928840286,32,0,1,0,56,2,92,5,5,1809,75.38,0.14,pace_slow,MATH101,0,SID_00024
S0001,S0001_S25,2024-03-19 21:37:00,SCI101,25.854681946101085,5,72.00496781352037,15,0,1,0,66,1,87,4,5,1875,75.0,0.16,revise_prev_topic,ENG101,1,SID_00025
S0001,S0001_S26,2024-04-20 03:14:00,SCI101,30.455718399038137,4,53.70999130985457,49,1,0,1,44,1,81,3,9,1919,73.81,0.14,practice_more,SCI101,0,SID_00026
S0001,S0001_S27,2024-04-16 05:11:00,MATH101,22.28180922243245,11,100.0,10,0,1,1,79,3,100,5,5,1998,74.0,0.22,pace_slow,SCI101,1,SID_00027
S0001,S0001_S28,2024-03-25 20:44:00,CS101,18.164268320554623,7,75.72426080576093,38,1,0,0,71,2,98,2,4,2069,73.89,0.14,good_progress,ENG101,1,SID_00028
S0001,S0001_S29,2024-01-24 00:46:00,PHY101,17.0505752552014,6,67.37203738133965,32,1,2,0,100,1,80,4,7,2169,74.79,0.12,content_boost,SCI101,1,SID_00029
S0001,S0001_S30,2024-03-03 23:28:00,ENG101,33.440681314020225,5,93.15581357212584,33,1,2,0,81,1,91,1,7,2250,75.0,0.24,practice_more,CS101,1,SID_00030
S0002,S0002_S1,2024-04-07 15:14:00,ENG101,25.135672339476397,9,75.189956532143,38,1,2,0,80,1,73,3,7,80,80.0,0.19,practice_more,PHY101,1,SID_00031
S0002,S0002_S2,2024-01-27 03:17:00,ENG101,38.1286211883896,10,85.74072104809031,45,1,2,0,48,3,67,5,0,128,64.0,0.28,content_boost,MATH101,0,SID_00032
S0002,S0002_S3,2024-03-20 01:53:00,MATH101,41.44371535474684,4,91.44661646971166,39,0,2,0,71,1,88,1,2,199,66.33,0.28,content_boost,PHY101,1,SID_00033
S0002,S0002_S4,2024-03-17 19:32:00,ENG101,27.289595377114576,5,54.67263292729055,28,1,2,0,53,1,82,1,6,252,63.0,0.13,good_progress,PHY101,0,SID_00034
S0002,S0002_S5,2024-01-04 10:54:00,CS101,29.877532271530853,8,47.56864071285421,23,0,0,0,70,2,88,4,8,322,64.4,0.15,good_progress,ENG101,1,SID_00035
S0002,S0002_S6,2024-01-29 17:49:00,CS101,36.13841341475425,14,100.0,47,0,1,0,83,1,88,5,4,405,67.5,0.33,content_boost,CS101,1,SID_00036
S0002,S0002_S7,2024-02-10 21:31:00,SCI101,34.455069012813844,14,33.45608359910695,10,1,4,0,39,3,76,3,9,444,63.43,0.17,pace_slow,SCI101,0,SID_00037
S0002,S0002_S8,2024-02-14 01:19:00,MATH101,26.97675757923692,13,69.88592927524259,29,1,4,0,53,1,71,5,5,497,62.12,0.21,practice_more,MATH101,0,SID_00038
S0002,S0002_S9,2024-03-04 17:24:00,SCI101,11.032527798170776,7,84.97733314572852,30,0,2,0,100,2,84,1,4,597,66.33,0.11,revise_prev_topic,PHY101,1,SID_00039
S0002,S0002_S10,2024-03-02 11:27:00,ENG101,21.02763668638694,8,100.0,20,1,1,1,100,2,71,4,3,697,69.7,0.19,good_progress,ENG101,1,SID_00040
S0002,S0002_S11,2024-02-22 16:14:00,PHY101,8.76104275690193,3,56.856124457980975,37,1,1,0,80,1,98,5,3,777,70.64,0.05,revise_prev_topic,CS101,1,SID_00041
S0002,S0002_S12,2024-01-26 15:02:00,SCI101,14.854251561837623,14,86.99149172908547,44,0,3,1,92,3,75,1,4,869,72.42,0.18,good_progress,MATH101,1,SID_00042
S0002,S0002_S13,2024-03-05 16:06:00,SCI101,23.84214155232289,12,100.0,36,0,2,0,80,1,99,3,4,949,73.0,0.24,practice_more,SCI101,1,SID_00043
S0002,S0002_S14,2024-03-06 08:46:00,PHY101,45.961429439016335,11,85.02634860528842,19,0,1,1,62,2,70,1,0,1011,72.21,0.33,content_boost,ENG101,1,SID_00044
S0002,S0002_S15,2024-02-29 17:34:00,SCI101,5.0,4,63.293423451262186,21,0,3,1,35,1,73,5,1,1046,69.73,0.05,pace_slow,MATH101,0,SID_00045
S0002,S0002_S16,2024-01-17 19:43:00,CS101,32.031135479465064,3,71.23931823248512,43,1,1,0,80,1,97,4,6,1126,70.38,0.17,content_boost,PHY101,1,SID_00046
S0002,S0002_S17,2024-03-06 10:23:00,PHY101,49.05907236926994,14,75.6900580232623,13,1,2,1,76,2,75,5,2,1202,70.71,0.34,pace_slow,MATH101,1,SID_00047
S0002,S0002_S18,2024-02-03 23:49:00,MATH101,8.251174973469027,12,100.0,25,1,0,1,86,3,77,3,1,1288,71.56,0.14,pace_slow,CS101,1,SID_00048
S0002,S0002_S19,2024-01-14 01:02:00,MATH101,16.343352135163443,6,82.60267149226335,14,1,1,0,100,2,100,2,0,1388,73.05,0.13,content_boost,MATH101,1,SID_00049
S0002,S0002_S20,2024-03-01 10:58:00,PHY101,49.64725132916389,10,70.88158879929321,35,0,2,0,87,1,73,3,3,1475,73.75,0.3,revise_prev_topic,SCI101,1,SID_00050
S0002,S0002_S21,2024-04-16 20:32:00,CS101,24.52720163662479,7,39.2986495219094,23,1,3,0,87,3,70,3,1,1562,74.38,0.11,content_boost,PHY101,1,SID_00051
S0002,S0002_S22,2024-04-15 21:51:00,PHY101,45.23787410193808,10,8.58132357841302,46,1,0,0,51,1,82,4,8,1613,73.32,0.09,revise_prev_topic,CS101,0,SID_00052
S0002,S0002_S23,2024-01-08 22:12:00,CS101,40.55330996546415,14,86.34085653338309,27,0,3,1,69,2,73,4,9,1682,73.13,0.33,practice_more,ENG101,1,SID_00053
S0002,S0002_S24,2024-04-06 11:31:00,PHY101,15.847974804824853,12,84.88502839276057,15,0,1,0,68,2,73,3,7,1750,72.92,0.17,content_boost,CS101,1,SID_00054
S0002,S0002_S25,2024-02-27 14:17:00,MATH101,5.0,5,87.11605503887921,33,0,3,1,64,3,74,1,1,1814,72.56,0.06,revise_prev_topic,CS101,1,SID_00055
S0002,S0002_S26,2024-02-25 11:40:00,CS101,50.43320489682306,4,100.0,14,1,2,1,68,2,76,5,3,1882,72.38,0.36,content_boost,PHY101,1,SID_00056
S0002,S0002_S27,2024-02-15 11:36:00,CS101,38.8192991038324,7,27.87819652580652,19,0,0,1,84,1,69,5,8,1966,72.81,0.12,content_boost,SCI101,1,SID_00057
S0002,S0002_S28,2024-01-09 09:42:00,SCI101,35.298041779152825,9,100.0,47,0,1,0,80,1,73,2,2,2046,73.07,0.3,content_boost,SCI101,1,SID_00058
S0002,S0002_S29,2024-03-14 02:58:00,CS101,30.865897874729,7,66.108069115198,38,1,4,0,79,1,100,5,9,2125,73.28,0.18,good_progress,PHY101,1,SID_00059
S0002,S0002_S30,2024-03-08 16:57:00,PHY101,42.01213922163944,8,59.798115674461215,49,1,3,0,79,3,77,2,4,2204,73.47,0.22,good_progress,MATH101,1,SID_00060
S0003,S0003_S1,2024-02-20 00:13:00,CS101,32.356145581085656,4,89.27162984717417,15,1,2,1,82,2,92,3,3,82,82.0,0.22,content_boost,SCI101,1,SID_00061
S0003,S0003_S2,2024-04-22 01:58:00,CS101,39.70077777913727,2,88.01932622851444,13,1,3,0,70,1,70,5,3,152,76.0,0.25,revise_prev_topic,CS101,1,SID_00062
S0003,S0003_S3,2024-03-18 21:21:00,PHY101,39.63850318715362,4,94.3389361880031,45,1,4,1,61,2,56,3,9,213,71.0,0.28,practice_more,MATH101,0,SID_00063
S0003,S0003_S4,2024-03-25 02:50:00,PHY101,31.805308418054317,10,100.0,42,0,2,1,82,3,82,2,0,295,73.75,0.28,revise_prev_topic,SCI101,1,SID_00064
S0003,S0003_S5,2024-04-26 18:13:00,SCI101,48.82024496475034,7,100.0,38,1,3,0,68,3,75,1,0,363,72.6,0.37,good_progress,PHY101,1,SID_00065
S0003,S0003_S6,2024-03-03 18:08:00,ENG101,30.557249122886947,9,97.35478796177372,24,0,2,0,87,3,56,2,6,450,75.0,0.26,good_progress,ENG101,0,SID_00066
S0003,S0003_S7,2024-02-22 21:55:00,CS101,42.70125546575716,2,49.538144573940215,33,0,1,1,90,3,73,2,1,540,77.14,0.15,practice_more,CS101,1,SID_00067
S0003,S0003_S8,2024-03-22 22:28:00,CS101,19.828078294546096,5,82.91673271620307,29,1,2,0,64,3,81,3,7,604,75.5,0.14,pace_slow,PHY101,1,SID_00068
S0003,S0003_S9,2024-03-11 22:25:00,CS101,28.851559805169767,14,73.87591558988797,38,1,2,0,95,1,53,2,5,699,77.67,0.24,practice_more,ENG101,0,SID_00069
S0003,S0003_S10,2024-03-23 09:27:00,MATH101,26.434679100559237,9,75.95740655303621,38,0,2,1,96,3,81,4,1,795,79.5,0.19,practice_more,ENG101,1,SID_00070
S0003,S0003_S11,2024-04-24 20:53:00,SCI101,27.43182972074268,10,95.60716454448476,12,1,0,0,67,1,84,4,7,862,78.36,0.24,pace_slow,MATH101,1,SID_00071
S0003,S0003_S12,2024-02-17 10:05:00,PHY101,27.59674601841865,9,60.62947981126006,25,1,1,1,83,3,76,2,6,945,78.75,0.17,revise_prev_topic,CS101,1,SID_00072
S0003,S0003_S13,2024-04-02 20:59:00,SCI101,36.88838247032785,14,81.66956375662156,28,1,4,0,94,1,62,5,5,1039,79.92,0.29,content_boost,SCI101,1,SID_00073
S0003,S0003_S14,2024-03-04 15:03:00,ENG101,23.72689458322696,6,100.0,44,1,2,1,89,1,79,2,2,1128,80.57,0.2,practice_more,PHY101,1,SID_00074
S0003,S0003_S15,2024-02-07 07:53:00,MATH101,47.01429243526172,3,72.19248707154341,34,0,0,1,55,3,81,5,5,1183,78.87,0.25,good_progress,SCI101,0,SID_00075
S0003,S0003_S16,2024-01-09 15:31:00,PHY101,13.704070140236729,2,83.79659138273752,46,0,2,1,78,1,89,1,4,1261,78.81,0.09,content_boost,CS101,1,SID_00076
S0003,S0003_S17,2024-03-18 11:58:00,MATH101,11.591257686683548,11,38.01057583160746,11,1,1,0,53,1,85,3,7,1314,77.29,0.1,good_progress,PHY101,0,SID_00077
S0003,S0003_S18,2024-02-18 12:56:00,SCI101,38.24415388257461,12,66.88465546641326,48,1,2,1,74,2,68,4,3,1388,77.11,0.25,practice_more,PHY101,1,SID_00078
S0003,S0003_S19,2024-01-04 20:05:00,CS101,32.83558070610913,2,62.98459959587964,43,0,1,0,59,1,62,3,7,1447,76.16,0.15,good_progress,PHY101,0,SID_00079
S0003,S0003_S20,2024-03-29 14:37:00,PHY101,14.420476823233322,4,59.990465995417054,46,1,1,1,70,3,73,3,0,1517,75.85,0.08,practice_more,SCI101,1,SID_00080
S0003,S0003_S21,2024-01-28 08:04:00,MATH101,16.806521108625944,9,64.3438695247831,28,1,4,1,52,2,79,1,9,1569,74.71,0.13,practice_more,SCI101,0,SID_00081
S0003,S0003_S22,2024-03-02 21:39:00,CS101,38.1848473463854,6,73.34619135615,16,0,0,1,91,3,79,3,1,1660,75.45,0.23,pace_slow,PHY101,1,SID_00082
S0003,S0003_S23,2024-04-16 12:53:00,CS101,51.91066005559718,9,78.50169076313078,44,1,0,1,76,2,90,4,6,1736,75.48,0.33,revise_prev_topic,MATH101,1,SID_00083
S0003,S0003_S24,2024-03-22 10:46:00,ENG101,34.12570396644122,14,21.75788509214607,31,0,2,1,76,3,90,3,6,1812,75.5,0.14,pace_slow,ENG101,1,SID_00084
S0003,S0003_S25,2024-03-02 01:05:00,MATH101,55.97704643234384,13,53.74072639824933,19,1,1,0,47,2,77,4,1,1859,74.36,0.29,pace_slow,PHY101,0,SID_00085
S0003,S0003_S26,2024-02-05 17:36:00,PHY101,10.663216988924397,9,39.81510420884064,13,1,2,1,89,2,77,3,1,1948,74.92,0.09,content_boost,CS101,1,SID_00086
S0003,S0003_S27,2024-03-31 06:27:00,SCI101,41.67102914383637,14,100.0,19,0,0,1,82,2,85,1,8,2030,75.19,0.37,good_progress,PHY101,1,SID_00087
S0003,S0003_S28,2024-03-14 05:05:00,ENG101,26.266007316234305,3,40.66074482469687,27,1,4,0,98,2,97,3,8,2128,76.0,0.09,good_progress,MATH101,1,SID_00088
S0003,S0003_S29,2024-03-14 05:20:00,MATH101,15.061703587857592,14,52.09859698165013,18,0,5,1,71,2,81,5,4,2199,75.83,0.15,good_progress,SCI101,1,SID_00089
S0003,S0003_S30,2024-03-31 06:23:00,CS101,30.432716947442906,4,95.76183551089574,12,1,4,1,88,3,84,1,8,2287,76.23,0.22,pace_slow,MATH101,1,SID_00090
S0004,S0004_S1,2024-02-06 19:06:00,CS101,20.717305485835496,6,84.85922022307923,40,0,0,1,93,3,71,2,3,93,93.0,0.16,content_boost,CS101,1,SID_00091
S0004,S0004_S2,2024-04-28 20:08:00,SCI101,45.67307866638952,13,78.57772707379397,48,1,1,0,60,2,81,4,7,153,76.5,0.33,content_boost,PHY101,0,SID_00092
S0004,S0004_S3,2024-02-08 06:14:00,MATH101,27.78802668274201,4,74.74302208895145,39,0,2,1,83,2,72,4,3,236,78.67,0.17,content_boost,MATH101,1,SID_00093
S0004,S0004_S4,2024-03-13 00:15:00,CS101,25.53566385449472,12,74.8522498224577,26,1,0,1,64,3,79,2,1,300,75.0,0.21,content_boost,SCI101,1,SID_00094
S0004,S0004_S5,2024-02-28 15:09:00,MATH101,50.20401963682112,5,51.503143088415314,21,0,0,0,73,3,59,3,9,373,74.6,0.21,content_boost,CS101,0,SID_00095
S0004,S0004_S6,2024-02-01 08:20:00,MATH101,36.78299411192041,4,68.79926173214558,22,0,0,0,66,2,88,4,5,439,73.17,0.2,content_boost,ENG101,1,SID_00096
S0004,S0004_S7,2024-02-18 00:10:00,ENG101,34.308402443337485,6,76.08269160320914,29,1,2,1,71,1,83,3,0,510,72.86,0.21,practice_more,SCI101,1,SID_00097
S0004,S0004_S8,2024-03-10 21:55:00,SCI101,17.48460575809556,13,100.0,25,0,1,0,99,3,55,3,4,609,76.12,0.2,practice_more,MATH101,0,SID_00098
S0004,S0004_S9,2024-02-09 04:35:00,SCI101,28.383742545375288,8,36.46813322454284,26,1,2,0,81,1,70,5,1,690,76.67,0.12,pace_slow,ENG101,1,SID_00099
S0004,S0004_S10,2024-03-02 06:19:00,CS101,23.653949647066437,14,94.8938059170339,26,1,2,0,51,1,87,1,0,741,74.1,0.24,good_progress,PHY101,0,SID_00100
S0004,S0004_S11,2024-02-28 00:15:00,MATH101,39.39848103529688,10,91.15033861678172,26,1,1,1,52,1,79,2,7,793,72.09,0.31,pace_slow,SCI101,0,SID_00101
S0004,S0004_S12,2024-04-15 06:45:00,CS101,21.236813320258182,14,70.94150582919845,39,0,2,1,100,2,86,2,9,893,74.42,0.19,good_progress,CS101,1,SID_00102
S0004,S0004_S13,2024-02-08 01:19:00,SCI101,43.99355436586002,7,93.11584207281922,18,1,2,1,80,2,86,4,6,973,74.85,0.32,content_boost,CS101,1,SID_00103
S0004,S0004_S14,2024-03-13 21:07:00,PHY101,36.514092809270224,7,100.0,31,1,1,1,69,2,82,4,6,1042,74.43,0.29,pace_slow,PHY101,1,SID_00104
S0004,S0004_S15,2024-03-15 08:56:00,PHY101,27.01696505448553,4,100.0,28,0,3,1,100,2,79,3,5,1142,76.13,0.21,content_boost,ENG101,1,SID_00105
S0004,S0004_S16,2024-01-06 08:00:00,PHY101,35.05991109959535,12,20.06471641351233,12,1,0,0,68,3,65,1,6,1210,75.62,0.13,content_boost,CS101,1,SID_00106
S0004,S0004_S17,2024-02-18 14:01:00,CS101,40.91046102164668,11,67.2316642729826,33,1,3,1,78,2,90,5,1,1288,75.76,0.26,practice_more,SCI101,1,SID_00107
S0004,S0004_S18,2024-02-26 15:44:00,ENG101,40.78680833431296,3,69.03728826248232,45,1,2,0,82,1,67,1,2,1370,76.11,0.21,practice_more,MATH101,1,SID_00108
S0004,S0004_S19,2024-01-04 21:11:00,MATH101,25.23699359031172,8,100.0,23,1,1,1,50,1,79,1,3,1420,74.74,0.22,practice_more,MATH101,0,SID_00109
S0004,S0004_S20,2024-04-30 21:32:00,MATH101,18.444319518942827,12,77.98058355488867,34,0,2,0,67,1,83,3,9,1487,74.35,0.18,pace_slow,CS101,1,SID_00110
S0004,S0004_S21,2024-01-04 04:11:00,MATH101,9.048424773200146,10,76.35434730615505,10,0,1,0,63,1,66,3,4,1550,73.81,0.11,revise_prev_topic,CS101,1,SID_00111
S0004,S0004_S22,2024-04-09 23:58:00,ENG101,35.03815695589555,2,16.153018882210674,37,0,1,0,70,2,75,5,0,1620,73.64,0.05,content_boost,MATH101,1,SID_00112
S0004,S0004_S23,2024-02-16 23:34:00,CS101,28.690840272302506,6,44.12612838669668,14,0,1,1,67,3,55,3,1,1687,73.35,0.12,pace_slow,MATH101,0,SID_00113
S0004,S0004_S24,2024-03-04 16:27:00,MATH101,14.555355063935323,12,82.58572706504694,32,1,1,1,91,2,69,4,6,1778,74.08,0.16,good_progress,ENG101,1,SID_00114
S0004,S0004_S25,2024-04-15 19:11:00,CS101,26.055781529214794,8,59.31785935980669,17,0,2,1,73,2,79,1,9,1851,74.04,0.16,content_boost,ENG101,1,SID_00115
S0004,S0004_S26,2024-01-06 10:58:00,PHY101,32.010990467149675,13,96.2663599001903,36,1,6,1,90,1,77,5,8,1941,74.65,0.29,pace_slow,MATH101,1,SID_00116
S0004,S0004_S27,2024-01-31 09:56:00,SCI101,33.02398844238225,7,50.36617143719867,13,1,3,0,72,2,81,1,4,2013,74.56,0.16,content_boost,PHY101,1,SID_00117
S0004,S0004_S28,2024-04-26 15:10:00,PHY101,19.037249131047982,8,33.99872793514264,24,0,1,0,65,2,66,2,2,2078,74.21,0.1,revise_prev_topic,PHY101,1,SID_00118
S0004,S0004_S29,2024-02-19 07:42:00,MATH101,34.51095296582978,3,43.77482693573784,18,0,5,0,96,3,61,3,6,2174,74.97,0.12,revise_prev_topic,MATH101,1,SID_00119
S0004,S0004_S30,2024-03-15 11:33:00,PHY101,35.94754341665286,12,91.33538896950768,30,0,2,0,76,3,79,4,4,2250,75.0,0.3,content_boost,MATH101,1,SID_00120
S0005,S0005_S1,2024-04-13 01:06:00,ENG101,16.024817671561266,14,67.61887304436637,13,1,3,1,88,2,64,2,0,88,88.0,0.17,content_boost,ENG101,1,SID_00121
S0005,S0005_S2,2024-02-29 05:49:00,PHY101,19.413606506029183,13,71.57913648267935,19,0,2,1,62,2,78,1,7,150,75.0,0.18,revise_prev_topic,CS101,1,SID_00122
S0005,S0005_S3,2024-02-18 13:41:00,MATH101,19.98231721435345,14,71.71178421321675,31,1,3,1,92,1,76,2,4,242,80.67,0.19,practice_more,CS101,1,SID_00123
S0005,S0005_S4,2024-03-08 21:29:00,SCI101,40.6985049870104,5,47.17629817439977,48,1,2,0,57,3,83,4,1,299,74.75,0.16,content_boost,PHY101,0,SID_00124
S0005,S0005_S5,2024-02-27 00:23:00,SCI101,54.68052182229827,7,22.695393779408327,46,0,1,0,66,1,66,1,8,365,73.0,0.13,content_boost,PHY101,1,SID_00125
S0005,S0005_S6,2024-03-04 06:44:00,SCI101,21.96325432030269,7,100.0,48,0,2,0,50,3,90,5,3,415,69.17,0.19,content_boost,PHY101,0,SID_00126
S0005,S0005_S7,2024-02-03 13:27:00,SCI101,24.18319086051356,12,44.631081732678325,15,0,3,1,78,2,64,2,2,493,70.43,0.15,pace_slow,SCI101,1,SID_00127
S0005,S0005_S8,2024-04-25 05:22:00,ENG101,10.062643574285444,4,79.35141424618931,31,1,0,1,85,2,99,4,7,578,72.25,0.08,revise_prev_topic,MATH101,1,SID_00128
S0005,S0005_S9,2024-04-19 13:22:00,SCI101,21.750316230675143,6,74.03599658219247,22,0,1,1,51,3,61,4,0,629,69.89,0.15,practice_more,SCI101,0,SID_00129
S0005,S0005_S10,2024-02-25 16:51:00,PHY101,6.64427275833372,8,57.51756901070007,37,0,0,0,87,1,87,1,4,716,71.6,0.08,good_progress,SCI101,1,SID_00130
S0005,S0005_S11,2024-04-20 11:57:00,MATH101,27.63419649270859,9,60.09015412380488,48,1,0,1,56,1,80,4,0,772,70.18,0.17,practice_more,SCI101,0,SID_00131
S0005,S0005_S12,2024-03-11 07:42:00,CS101,23.179656168006854,10,40.637752937671536,30,1,2,1,77,2,79,3,5,849,70.75,0.13,pace_slow,CS101,1,SID_00132
S0005,S0005_S13,2024-03-13 12:11:00,MATH101,32.513056408063804,6,69.96123735410244,21,0,1,0,88,2,77,3,6,937,72.08,0.19,practice_more,MATH101,1,SID_00133
S0005,S0005_S14,2024-01-03 14:10:00,CS101,24.928769399434096,6,64.0911315727751,44,1,0,0,75,2,79,1,1,1012,72.29,0.15,pace_slow,ENG101,1,SID_00134
S0005,S0005_S15,2024-02-15 00:04:00,MATH101,29.74973041254856,7,90.44415748000718,12,0,1,0,74,1,69,4,3,1086,72.4,0.23,revise_prev_topic,PHY101,1,SID_00135
S0005,S0005_S16,2024-04-28 01:34:00,CS101,20.60664606181245,7,66.39781110695961,41,0,0,1,60,3,84,5,2,1146,71.62,0.14,practice_more,SCI101,0,SID_00136
S0005,S0005_S17,2024-02-18 12:24:00,MATH101,24.373997183463075,12,54.960407964643096,40,1,1,0,65,1,76,4,3,1211,71.24,0.17,pace_slow,PHY101,1,SID_00137
S0005,S0005_S18,2024-01-11 14:51:00,SCI101,14.657013736155417,5,92.81088123147916,45,1,3,1,67,2,68,5,5,1278,71.0,0.12,revise_prev_topic,SCI101,1,SID_00138
S0005,S0005_S19,2024-01-27 17:46:00,CS101,27.673280914800014,7,43.838051434389286,24,0,1,0,52,2,90,2,4,1330,70.0,0.13,revise_prev_topic,ENG101,0,SID_00139
S0005,S0005_S20,2024-04-19 00:30:00,ENG101,28.776530973588947,2,59.121085053631205,20,0,1,0,57,2,79,3,8,1387,69.35,0.13,good_progress,PHY101,0,SID_00140
S0005,S0005_S21,2024-04-07 13:45:00,CS101,40.11903311826745,11,78.0263083333041,30,1,3,0,79,1,78,4,6,1466,69.81,0.28,pace_slow,SCI101,1,SID_00141
S0005,S0005_S22,2024-03-20 21:19:00,ENG101,37.42095372009307,9,77.4823145101623,24,0,0,1,74,1,82,1,6,1540,70.0,0.25,good_progress,SCI101,1,SID_00142
S0005,S0005_S23,2024-03-24 12:00:00,PHY101,26.346784486878917,9,74.61700764662271,44,1,0,1,62,2,92,4,3,1602,69.65,0.19,good_progress,CS101,1,SID_00143
S0005,S0005_S24,2024-04-29 14:56:00,PHY101,36.8026537929548,13,98.94537105060024,14,0,2,1,75,1,71,1,8,1677,69.88,0.33,good_progress,ENG101,1,SID_00144
S0005,S0005_S25,2024-03-27 19:12:00,CS101,17.474109876345043,2,57.43843782723458,45,1,1,0,66,2,80,2,4,1743,69.72,0.08,good_progress,ENG101,1,SID_00145
S0005,S0005_S26,2024-02-18 08:21:00,CS101,29.26931031592927,3,43.324585339553096,22,0,3,1,83,3,77,1,8,1826,70.23,0.1,content_boost,ENG101,1,SID_00146
