title,platform,url,certificate,verified,rating,learners,duration_hours,level,topic,dataset_source
Deep Learning with PyTorch,Udemy,https://www.udemy.com/courses/search/?q=Deep+Learning+with+PyTorch,False,False,4.8,826455,40,beginner,deep learning,synthetic_pfa_v1
Deep Learning Specialization – Intermediate,Pluralsight,https://www.pluralsight.com/search?q=Deep+Learning+Specialization+%E2%80%93+Intermediate,True,False,4.1,50919,8,intermediate,deep learning,synthetic_pfa_v1
Practical Deep Learning for Coders – Intermediate,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Practical+Deep+Learning+for+Coders+%E2%80%93+Intermediate,True,False,3.9,11895,47,intermediate,deep learning,synthetic_pfa_v1
Neural Networks and Deep Learning – Intermediate,edX,https://www.edx.org/search?q=Neural+Networks+and+Deep+Learning+%E2%80%93+Intermediate,False,False,4.5,268206,33,intermediate,deep learning,synthetic_pfa_v1
Deep Learning with PyTorch – Intermediate,edX,https://www.edx.org/search?q=Deep+Learning+with+PyTorch+%E2%80%93+Intermediate,False,False,4.5,4112,50,intermediate,deep learning,synthetic_pfa_v1
Deep Learning Specialization – Advanced,Udemy,https://www.udemy.com/courses/search/?q=Deep+Learning+Specialization+%E2%80%93+Advanced,False,False,4.1,13605,8,advanced,deep learning,synthetic_pfa_v1
Practical Deep Learning for Coders – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Practical+Deep+Learning+for+Coders+%E2%80%93+Advanced,True,True,4.3,16048,53,advanced,deep learning,synthetic_pfa_v1
Neural Networks and Deep Learning – Advanced,Coursera,https://www.coursera.org/search?query=Neural+Networks+and+Deep+Learning+%E2%80%93+Advanced,True,True,4.8,2352,45,advanced,deep learning,synthetic_pfa_v1
Deep Learning with PyTorch – Advanced,edX,https://www.edx.org/search?q=Deep+Learning+with+PyTorch+%E2%80%93+Advanced,False,False,4.4,8965,23,advanced,deep learning,synthetic_pfa_v1
IBM Data Science Professional Certificate,Pluralsight,https://www.pluralsight.com/search?q=IBM+Data+Science+Professional+Certificate,True,False,4.0,278203,36,beginner,data science,synthetic_pfa_v1
Data Science Bootcamp 2024,DataCamp,https://www.datacamp.com/search?q=Data+Science+Bootcamp+2024,True,False,4.9,19172,31,beginner,data science,synthetic_pfa_v1
The Data Science Course: Complete Data Science Bootcamp,fast.ai,https://course.fast.ai/,True,False,4.2,2476,9,beginner,data science,synthetic_pfa_v1
Data Science and Machine Learning Bootcamp,DataCamp,https://www.datacamp.com/search?q=Data+Science+and+Machine+Learning+Bootcamp,False,False,4.6,82987,35,beginner,data science,synthetic_pfa_v1
IBM Data Science Professional Certificate – Intermediate,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=IBM+Data+Science+Professional+Certificate+%E2%80%93+Intermediate,True,False,4.6,2941,9,intermediate,data science,synthetic_pfa_v1
Data Science Bootcamp 2024 – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=Data+Science+Bootcamp+2024+%E2%80%93+Intermediate,False,False,5.0,43388,19,intermediate,data science,synthetic_pfa_v1
The Data Science Course: Complete Data Science Bootcamp – Intermediate,DataCamp,https://www.datacamp.com/search?q=The+Data+Science+Course%3A+Complete+Data+Science+Bootcamp+%E2%80%93+Intermediate,False,False,4.2,17794,46,intermediate,data science,synthetic_pfa_v1
Data Science and Machine Learning Bootcamp – Intermediate,Pluralsight,https://www.pluralsight.com/search?q=Data+Science+and+Machine+Learning+Bootcamp+%E2%80%93+Intermediate,False,False,4.8,8977,53,intermediate,data science,synthetic_pfa_v1
IBM Data Science Professional Certificate – Advanced,Coursera,https://www.coursera.org/search?query=IBM+Data+Science+Professional+Certificate+%E2%80%93+Advanced,True,True,3.9,36562,15,advanced,data science,synthetic_pfa_v1
Data Science Bootcamp 2024 – Advanced,Coursera,https://www.coursera.org/search?query=Data+Science+Bootcamp+2024+%E2%80%93+Advanced,True,False,4.3,47410,50,advanced,data science,synthetic_pfa_v1
The Data Science Course: Complete Data Science Bootcamp – Advanced,Pluralsight,https://www.pluralsight.com/search?q=The+Data+Science+Course%3A+Complete+Data+Science+Bootcamp+%E2%80%93+Advanced,False,False,4.8,60546,9,advanced,data science,synthetic_pfa_v1
Data Science and Machine Learning Bootcamp – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Data+Science+and+Machine+Learning+Bootcamp+%E2%80%93+Advanced,True,False,4.1,48441,5,advanced,data science,synthetic_pfa_v1
Statistics with Python Specialization,Coursera,https://www.coursera.org/search?query=Statistics+with+Python+Specialization,False,False,3.8,46289,29,beginner,statistics,synthetic_pfa_v1
Introduction to Probability and Statistics,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Introduction+to+Probability+and+Statistics,True,False,4.5,20139,43,beginner,statistics,synthetic_pfa_v1
Statistics and Data Science MicroMasters,fast.ai,https://course.fast.ai/,True,False,4.2,2619,45,beginner,statistics,synthetic_pfa_v1
Bayesian Statistics: From Concept to Data Analysis,fast.ai,https://course.fast.ai/,True,True,4.6,55402,23,beginner,statistics,synthetic_pfa_v1
Statistics with Python Specialization – Intermediate,DataCamp,https://www.datacamp.com/search?q=Statistics+with+Python+Specialization+%E2%80%93+Intermediate,True,True,4.3,66679,35,intermediate,statistics,synthetic_pfa_v1
Introduction to Probability and Statistics – Intermediate,fast.ai,https://course.fast.ai/,True,True,4.3,8611,57,intermediate,statistics,synthetic_pfa_v1
Statistics and Data Science MicroMasters – Intermediate,edX,https://www.edx.org/search?q=Statistics+and+Data+Science+MicroMasters+%E2%80%93+Intermediate,True,False,3.8,70944,30,intermediate,statistics,synthetic_pfa_v1
Bayesian Statistics: From Concept to Data Analysis – Intermediate,Coursera,https://www.coursera.org/search?query=Bayesian+Statistics%3A+From+Concept+to+Data+Analysis+%E2%80%93+Intermediate,False,False,4.4,20181,43,intermediate,statistics,synthetic_pfa_v1
Statistics with Python Specialization – Advanced,fast.ai,https://course.fast.ai/,True,False,4.8,10567,5,advanced,statistics,synthetic_pfa_v1
Introduction to Probability and Statistics – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Introduction+to+Probability+and+Statistics+%E2%80%93+Advanced,True,False,3.9,124806,34,advanced,statistics,synthetic_pfa_v1
Statistics and Data Science MicroMasters – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Statistics+and+Data+Science+MicroMasters+%E2%80%93+Advanced,True,False,4.9,5981,5,advanced,statistics,synthetic_pfa_v1
Bayesian Statistics: From Concept to Data Analysis – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Bayesian+Statistics%3A+From+Concept+to+Data+Analysis+%E2%80%93+Advanced,False,False,4.0,13052,18,advanced,statistics,synthetic_pfa_v1
Complete Python Programming Bootcamp,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Complete+Python+Programming+Bootcamp,True,True,4.2,116751,46,beginner,python programming,synthetic_pfa_v1
Python Programming for Data Scientists,edX,https://www.edx.org/search?q=Python+Programming+for+Data+Scientists,False,False,4.7,13578,47,beginner,python programming,synthetic_pfa_v1
Professional Certificate in Python Programming,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Professional+Certificate+in+Python+Programming,False,False,4.2,1899,14,beginner,python programming,synthetic_pfa_v1
Applied Python Programming,Udemy,https://www.udemy.com/courses/search/?q=Applied+Python+Programming,True,True,4.1,151216,12,beginner,python programming,synthetic_pfa_v1
Complete Python Programming Bootcamp – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=Complete+Python+Programming+Bootcamp+%E2%80%93+Intermediate,True,True,4.5,3795,35,intermediate,python programming,synthetic_pfa_v1
Python Programming for Data Scientists – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=Python+Programming+for+Data+Scientists+%E2%80%93+Intermediate,False,False,4.5,3277,15,intermediate,python programming,synthetic_pfa_v1
Professional Certificate in Python Programming – Intermediate,Coursera,https://www.coursera.org/search?query=Professional+Certificate+in+Python+Programming+%E2%80%93+Intermediate,True,True,4.8,13749,18,intermediate,python programming,synthetic_pfa_v1
Applied Python Programming – Intermediate,DataCamp,https://www.datacamp.com/search?q=Applied+Python+Programming+%E2%80%93+Intermediate,False,False,4.1,11646,6,intermediate,python programming,synthetic_pfa_v1
Complete Python Programming Bootcamp – Advanced,edX,https://www.edx.org/search?q=Complete+Python+Programming+Bootcamp+%E2%80%93+Advanced,True,False,4.9,29719,7,advanced,python programming,synthetic_pfa_v1
Python Programming for Data Scientists – Advanced,fast.ai,https://course.fast.ai/,False,False,4.7,161553,10,advanced,python programming,synthetic_pfa_v1
Professional Certificate in Python Programming – Advanced,Coursera,https://www.coursera.org/search?query=Professional+Certificate+in+Python+Programming+%E2%80%93+Advanced,True,True,4.4,8337,17,advanced,python programming,synthetic_pfa_v1
Applied Python Programming – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Applied+Python+Programming+%E2%80%93+Advanced,True,True,4.2,16243,50,advanced,python programming,synthetic_pfa_v1
Complete Data Visualization Bootcamp,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Complete+Data+Visualization+Bootcamp,True,False,4.2,56188,16,beginner,data visualization,synthetic_pfa_v1
Data Visualization for Data Scientists,fast.ai,https://course.fast.ai/,True,True,4.7,710,25,beginner,data visualization,synthetic_pfa_v1
Professional Certificate in Data Visualization,Coursera,https://www.coursera.org/search?query=Professional+Certificate+in+Data+Visualization,False,False,4.1,56762,44,beginner,data visualization,synthetic_pfa_v1
Applied Data Visualization,Udemy,https://www.udemy.com/courses/search/?q=Applied+Data+Visualization,True,False,4.0,68056,18,beginner,data visualization,synthetic_pfa_v1
Complete Data Visualization Bootcamp – Intermediate,DataCamp,https://www.datacamp.com/search?q=Complete+Data+Visualization+Bootcamp+%E2%80%93+Intermediate,True,True,4.9,25104,5,intermediate,data visualization,synthetic_pfa_v1
Data Visualization for Data Scientists – Intermediate,fast.ai,https://course.fast.ai/,True,False,3.8,4631,53,intermediate,data visualization,synthetic_pfa_v1
Professional Certificate in Data Visualization – Intermediate,Coursera,https://www.coursera.org/search?query=Professional+Certificate+in+Data+Visualization+%E2%80%93+Intermediate,False,False,4.3,2667,44,intermediate,data visualization,synthetic_pfa_v1
Applied Data Visualization – Intermediate,fast.ai,https://course.fast.ai/,False,False,4.6,23677,29,intermediate,data visualization,synthetic_pfa_v1
Complete Data Visualization Bootcamp – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Complete+Data+Visualization+Bootcamp+%E2%80%93+Advanced,True,False,4.5,3112,26,advanced,data visualization,synthetic_pfa_v1
Data Visualization for Data Scientists – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Data+Visualization+for+Data+Scientists+%E2%80%93+Advanced,True,False,4.5,4795,45,advanced,data visualization,synthetic_pfa_v1
Professional Certificate in Data Visualization – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Professional+Certificate+in+Data+Visualization+%E2%80%93+Advanced,True,False,4.2,216327,53,advanced,data visualization,synthetic_pfa_v1
Applied Data Visualization – Advanced,Coursera,https://www.coursera.org/search?query=Applied+Data+Visualization+%E2%80%93+Advanced,True,False,3.8,4678,51,advanced,data visualization,synthetic_pfa_v1
Natural Language Processing Specialization,Udemy,https://www.udemy.com/courses/search/?q=Natural+Language+Processing+Specialization,False,False,3.9,29097,52,beginner,natural language processing,synthetic_pfa_v1
NLP with Classification and Vector Spaces,Udemy,https://www.udemy.com/courses/search/?q=NLP+with+Classification+and+Vector+Spaces,True,False,3.8,195471,20,beginner,natural language processing,synthetic_pfa_v1
Applied NLP with Python,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Applied+NLP+with+Python,True,False,4.3,23170,57,beginner,natural language processing,synthetic_pfa_v1
Build NLP Applications with Python,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Build+NLP+Applications+with+Python,False,False,4.4,172851,40,beginner,natural language processing,synthetic_pfa_v1
Natural Language Processing Specialization – Intermediate,Coursera,https://www.coursera.org/search?query=Natural+Language+Processing+Specialization+%E2%80%93+Intermediate,False,False,4.3,336363,38,intermediate,natural language processing,synthetic_pfa_v1
NLP with Classification and Vector Spaces – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=NLP+with+Classification+and+Vector+Spaces+%E2%80%93+Intermediate,False,False,4.2,1675,49,intermediate,natural language processing,synthetic_pfa_v1
Applied NLP with Python – Intermediate,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Applied+NLP+with+Python+%E2%80%93+Intermediate,True,True,4.0,6638,10,intermediate,natural language processing,synthetic_pfa_v1
Build NLP Applications with Python – Intermediate,fast.ai,https://course.fast.ai/,True,True,4.7,19191,31,intermediate,natural language processing,synthetic_pfa_v1
Natural Language Processing Specialization – Advanced,Coursera,https://www.coursera.org/search?query=Natural+Language+Processing+Specialization+%E2%80%93+Advanced,True,False,3.9,148573,32,advanced,natural language processing,synthetic_pfa_v1
NLP with Classification and Vector Spaces – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=NLP+with+Classification+and+Vector+Spaces+%E2%80%93+Advanced,True,False,4.4,35313,29,advanced,natural language processing,synthetic_pfa_v1
Applied NLP with Python – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Applied+NLP+with+Python+%E2%80%93+Advanced,False,False,4.3,2354,35,advanced,natural language processing,synthetic_pfa_v1
Build NLP Applications with Python – Advanced,DataCamp,https://www.datacamp.com/search?q=Build+NLP+Applications+with+Python+%E2%80%93+Advanced,True,True,4.8,7719,49,advanced,natural language processing,synthetic_pfa_v1
Complete Computer Vision Bootcamp,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Complete+Computer+Vision+Bootcamp,True,True,4.4,28153,33,beginner,computer vision,synthetic_pfa_v1
Computer Vision for Data Scientists,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Computer+Vision+for+Data+Scientists,False,False,4.0,153248,11,beginner,computer vision,synthetic_pfa_v1
Professional Certificate in Computer Vision,fast.ai,https://course.fast.ai/,False,False,4.3,2256,6,beginner,computer vision,synthetic_pfa_v1
Applied Computer Vision,Udemy,https://www.udemy.com/courses/search/?q=Applied+Computer+Vision,True,True,3.9,9872,22,beginner,computer vision,synthetic_pfa_v1
Complete Computer Vision Bootcamp – Intermediate,fast.ai,https://course.fast.ai/,True,True,4.0,77880,23,intermediate,computer vision,synthetic_pfa_v1
Computer Vision for Data Scientists – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=Computer+Vision+for+Data+Scientists+%E2%80%93+Intermediate,True,True,4.8,21314,26,intermediate,computer vision,synthetic_pfa_v1
Professional Certificate in Computer Vision – Intermediate,DataCamp,https://www.datacamp.com/search?q=Professional+Certificate+in+Computer+Vision+%E2%80%93+Intermediate,True,False,4.4,9007,25,intermediate,computer vision,synthetic_pfa_v1
Applied Computer Vision – Intermediate,fast.ai,https://course.fast.ai/,False,False,4.7,69058,36,intermediate,computer vision,synthetic_pfa_v1
Complete Computer Vision Bootcamp – Advanced,DataCamp,https://www.datacamp.com/search?q=Complete+Computer+Vision+Bootcamp+%E2%80%93+Advanced,True,True,4.7,36520,50,advanced,computer vision,synthetic_pfa_v1
Computer Vision for Data Scientists – Advanced,fast.ai,https://course.fast.ai/,True,True,4.5,37012,29,advanced,computer vision,synthetic_pfa_v1
Professional Certificate in Computer Vision – Advanced,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Professional+Certificate+in+Computer+Vision+%E2%80%93+Advanced,True,True,4.9,122331,59,advanced,computer vision,synthetic_pfa_v1
Applied Computer Vision – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Applied+Computer+Vision+%E2%80%93+Advanced,True,True,4.6,60548,45,advanced,computer vision,synthetic_pfa_v1
Complete Reinforcement Learning Bootcamp,Udemy,https://www.udemy.com/courses/search/?q=Complete+Reinforcement+Learning+Bootcamp,False,False,4.9,34342,40,beginner,reinforcement learning,synthetic_pfa_v1
Reinforcement Learning for Data Scientists,Udemy,https://www.udemy.com/courses/search/?q=Reinforcement+Learning+for+Data+Scientists,False,False,4.7,22179,46,beginner,reinforcement learning,synthetic_pfa_v1
Professional Certificate in Reinforcement Learning,Udemy,https://www.udemy.com/courses/search/?q=Professional+Certificate+in+Reinforcement+Learning,False,False,5.0,10623,57,beginner,reinforcement learning,synthetic_pfa_v1
Applied Reinforcement Learning,fast.ai,https://course.fast.ai/,True,False,4.9,10474,42,beginner,reinforcement learning,synthetic_pfa_v1
Complete Reinforcement Learning Bootcamp – Intermediate,Pluralsight,https://www.pluralsight.com/search?q=Complete+Reinforcement+Learning+Bootcamp+%E2%80%93+Intermediate,False,False,3.9,16696,59,intermediate,reinforcement learning,synthetic_pfa_v1
Reinforcement Learning for Data Scientists – Intermediate,edX,https://www.edx.org/search?q=Reinforcement+Learning+for+Data+Scientists+%E2%80%93+Intermediate,True,True,4.3,25602,15,intermediate,reinforcement learning,synthetic_pfa_v1
Professional Certificate in Reinforcement Learning – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=Professional+Certificate+in+Reinforcement+Learning+%E2%80%93+Intermediate,True,True,4.2,16527,43,intermediate,reinforcement learning,synthetic_pfa_v1
Applied Reinforcement Learning – Intermediate,Coursera,https://www.coursera.org/search?query=Applied+Reinforcement+Learning+%E2%80%93+Intermediate,True,False,4.7,12373,13,intermediate,reinforcement learning,synthetic_pfa_v1
Complete Reinforcement Learning Bootcamp – Advanced,edX,https://www.edx.org/search?q=Complete+Reinforcement+Learning+Bootcamp+%E2%80%93+Advanced,True,True,4.3,57493,16,advanced,reinforcement learning,synthetic_pfa_v1
Reinforcement Learning for Data Scientists – Advanced,DataCamp,https://www.datacamp.com/search?q=Reinforcement+Learning+for+Data+Scientists+%E2%80%93+Advanced,True,False,4.4,27574,21,advanced,reinforcement learning,synthetic_pfa_v1
Professional Certificate in Reinforcement Learning – Advanced,DataCamp,https://www.datacamp.com/search?q=Professional+Certificate+in+Reinforcement+Learning+%E2%80%93+Advanced,True,True,4.5,1182985,5,advanced,reinforcement learning,synthetic_pfa_v1
Applied Reinforcement Learning – Advanced,Udemy,https://www.udemy.com/courses/search/?q=Applied+Reinforcement+Learning+%E2%80%93+Advanced,True,False,4.7,34406,40,advanced,reinforcement learning,synthetic_pfa_v1
Complete Neural Networks Bootcamp,Coursera,https://www.coursera.org/search?query=Complete+Neural+Networks+Bootcamp,True,True,4.8,22139,13,beginner,neural networks,synthetic_pfa_v1
Neural Networks for Data Scientists,fast.ai,https://course.fast.ai/,True,False,4.1,25542,56,beginner,neural networks,synthetic_pfa_v1
Professional Certificate in Neural Networks,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Professional+Certificate+in+Neural+Networks,False,False,5.0,19653,57,beginner,neural networks,synthetic_pfa_v1
Applied Neural Networks,DataCamp,https://www.datacamp.com/search?q=Applied+Neural+Networks,False,False,5.0,67463,57,beginner,neural networks,synthetic_pfa_v1
Complete Neural Networks Bootcamp – Intermediate,edX,https://www.edx.org/search?q=Complete+Neural+Networks+Bootcamp+%E2%80%93+Intermediate,True,False,3.9,90102,23,intermediate,neural networks,synthetic_pfa_v1
Neural Networks for Data Scientists – Intermediate,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Neural+Networks+for+Data+Scientists+%E2%80%93+Intermediate,True,True,3.9,2722,21,intermediate,neural networks,synthetic_pfa_v1
Professional Certificate in Neural Networks – Intermediate,Pluralsight,https://www.pluralsight.com/search?q=Professional+Certificate+in+Neural+Networks+%E2%80%93+Intermediate,True,True,4.4,3906,24,intermediate,neural networks,synthetic_pfa_v1
Applied Neural Networks – Intermediate,DataCamp,https://www.datacamp.com/search?q=Applied+Neural+Networks+%E2%80%93+Intermediate,True,True,5.0,35348,35,intermediate,neural networks,synthetic_pfa_v1
Complete Neural Networks Bootcamp – Advanced,fast.ai,https://course.fast.ai/,False,False,4.9,51211,57,advanced,neural networks,synthetic_pfa_v1
Neural Networks for Data Scientists – Advanced,DataCamp,https://www.datacamp.com/search?q=Neural+Networks+for+Data+Scientists+%E2%80%93+Advanced,False,False,4.6,2920,56,advanced,neural networks,synthetic_pfa_v1
Professional Certificate in Neural Networks – Advanced,edX,https://www.edx.org/search?q=Professional+Certificate+in+Neural+Networks+%E2%80%93+Advanced,True,True,4.3,14574,4,advanced,neural networks,synthetic_pfa_v1
Applied Neural Networks – Advanced,fast.ai,https://course.fast.ai/,False,False,4.1,119204,9,advanced,neural networks,synthetic_pfa_v1
Complete Feature Engineering Bootcamp,LinkedIn Learning,https://www.linkedin.com/learning/search?keywords=Complete+Feature+Engineering+Bootcamp,True,True,4.2,45796,35,beginner,feature engineering,synthetic_pfa_v1
Feature Engineering for Data Scientists,edX,https://www.edx.org/search?q=Feature+Engineering+for+Data+Scientists,True,False,4.4,83513,4,beginner,feature engineering,synthetic_pfa_v1
Professional Certificate in Feature Engineering,Coursera,https://www.coursera.org/search?query=Professional+Certificate+in+Feature+Engineering,True,True,4.8,31301,39,beginner,feature engineering,synthetic_pfa_v1
Applied Feature Engineering,Coursera,https://www.coursera.org/search?query=Applied+Feature+Engineering,True,False,4.5,45496,40,beginner,feature engineering,synthetic_pfa_v1
Complete Feature Engineering Bootcamp – Intermediate,Udemy,https://www.udemy.com/courses/search/?q=Complete+Feature+Engineering+Bootcamp+%E2%80%93+Intermediate,False,False,4.8,72133,47,intermediate,feature engineering,synthetic_pfa_v1
Feature Engineering for Data Scientists – Intermediate,DataCamp,https://www.datacamp.com/search?q=Feature+Engineering+for+Data+Scientists+%E2%80%93+Intermediate,True,False,3.8,12410,45,intermediate,feature engineering,synthetic_pfa_v1
Professional Certificate in Feature Engineering – Intermediate,DataCamp,https://www.datacamp.com/search?q=Professional+Certificate+in+Feature+Engineering+%E2%80%93+Intermediate,True,False,4.8,16766,37,intermediate,feature engineering,synthetic_pfa_v1
Applied Feature Engineering – Intermediate,edX,https://www.edx.org/search?q=Applied+Feature+Engineering+%E2%80%93+Intermediate,True,False,4.4,24883,29,intermediate,feature engineering,synthetic_pfa_v1
Complete Feature Engineering Bootcamp – Advanced,Coursera,https://www.coursera.org/search?query=Complete+Feature+Engineering+Bootcamp+%E2%80%93+Advanced,True,True,4.9,2265,8,advanced,feature engineering,synthetic_pfa_v1
Feature Engineering for Data Scientists – Advanced,Udemy,https://www.udemy.com/courses/search/?q=Feature+Engineering+for+Data+Scientists+%E2%80%93+Advanced,False,False,4.2,2594,5,advanced,feature engineering,synthetic_pfa_v1
Professional Certificate in Feature Engineering – Advanced,fast.ai,https://course.fast.ai/,True,True,4.6,12471,10,advanced,feature engineering,synthetic_pfa_v1
Applied Feature Engineering – Advanced,edX,https://www.edx.org/search?q=Applied+Feature+Engineering+%E2%80%93+Advanced,True,False,4.8,123391,19,advanced,feature engineering,synthetic_pfa_v1
Complete Time Series Analysis Bootcamp,fast.ai,https://course.fast.ai/,True,False,3.9,18817,7,beginner,time series analysis,synthetic_pfa_v1
Time Series Analysis for Data Scientists,edX,https://www.edx.org/search?q=Time+Series+Analysis+for+Data+Scientists,True,True,4.9,217350,7,beginner,time series analysis,synthetic_pfa_v1
Professional Certificate in Time Series Analysis,edX,https://www.edx.org/search?q=Professional+Certificate+in+Time+Series+Analysis,False,False,4.5,18119,7,beginner,time series analysis,synthetic_pfa_v1
Applied Time Series Analysis,Coursera,https://www.coursera.org/search?query=Applied+Time+Series+Analysis,True,True,4.2,15718,52,beginner,time series analysis,synthetic_pfa_v1
Complete Time Series Analysis Bootcamp – Intermediate,fast.ai,https://course.fast.ai/,False,False,4.5,5124,60,intermediate,time series analysis,synthetic_pfa_v1
Time Series Analysis for Data Scientists – Intermediate,Pluralsight,https://www.pluralsight.com/search?q=Time+Series+Analysis+for+Data+Scientists+%E2%80%93+Intermediate,True,False,3.9,72971,5,intermediate,time series analysis,synthetic_pfa_v1
Professional Certificate in Time Series Analysis – Intermediate,Pluralsight,https://www.pluralsight.com/search?q=Professional+Certificate+in+Time+Series+Analysis+%E2%80%93+Intermediate,False,False,4.0,1762,8,intermediate,time series analysis,synthetic_pfa_v1
Applied Time Series Analysis – Intermediate,fast.ai,https://course.fast.ai/,False,False,4.8,22822,34,intermediate,time series analysis,synthetic_pfa_v1
Complete Time Series Analysis Bootcamp – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Complete+Time+Series+Analysis+Bootcamp+%E2%80%93+Advanced,True,False,4.3,848,7,advanced,time series analysis,synthetic_pfa_v1
Time Series Analysis for Data Scientists – Advanced,Pluralsight,https://www.pluralsight.com/search?q=Time+Series+Analysis+for+Data+Scientists+%E2%80%93+Advanced,True,True,4.3,319,53,advanced,time series analysis,synthetic_pfa_v1
