title,channel,url,views,duration_minutes,published_year,quality_score,topic,level
Backpropagation Step by Step,freeCodeCamp.org,https://www.youtube.com/watch?v=VyWAvY2CF9c,20327,151,2018,8.97,deep learning,beginner
Deep Learning Hyperparameter Tuning,3Blue1Brown,https://www.youtube.com/watch?v=aircAruvnKk,920563,34,2023,7.37,deep learning,beginner
GPU-Accelerated Training with PyTorch,Corey Schafer,https://www.youtube.com/watch?v=ORMx45xqWkA,844886,71,2022,8.84,deep learning,beginner
Deep Learning from Scratch in Python – Intermediate,DeepMind,https://www.youtube.com/watch?v=I2ZK3ngNvvI,100417,79,2023,6.74,deep learning,intermediate
Building Your First Neural Network – Intermediate,Python Engineer,https://www.youtube.com/watch?v=ORMx45xqWkA,13642,138,2019,8.03,deep learning,intermediate
Backpropagation Step by Step – Intermediate,Sentdex,https://www.youtube.com/watch?v=Ilg3gGewQ5U,571094,84,2022,6.94,deep learning,intermediate
Deep Learning Hyperparameter Tuning – Intermediate,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=fSytzGwwBVw,69425,163,2023,9.25,deep learning,intermediate
GPU-Accelerated Training with PyTorch – Intermediate,Lex Fridman,https://www.youtube.com/watch?v=YR-1fyQXK1o,349633,14,2018,7.2,deep learning,intermediate
Deep Learning from Scratch in Python – Advanced,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=CqOfi41LfDw,1182,126,2018,8.94,deep learning,advanced
Building Your First Neural Network – Advanced,The AI Epiphany,https://www.youtube.com/watch?v=cAkMcPfY_Ns,10953,48,2025,8.06,deep learning,advanced
Backpropagation Step by Step – Advanced,AI Explained,https://www.youtube.com/watch?v=Ilg3gGewQ5U,101346,114,2024,7.25,deep learning,advanced
Deep Learning Hyperparameter Tuning – Advanced,Tech With Tim,https://www.youtube.com/watch?v=j0MOGKBqx7E,52432,115,2021,9.62,deep learning,advanced
GPU-Accelerated Training with PyTorch – Advanced,Nicholas Renotte,https://www.youtube.com/watch?v=Mut_u40Sqz4,414809,117,2020,6.79,deep learning,advanced
Data Science Full Course 2024,Yannic Kilcher,https://www.youtube.com/watch?v=dND-7llwrpw,1714790,15,2021,8.78,data science,beginner
Exploratory Data Analysis with Pandas,Krish Naik,https://www.youtube.com/watch?v=fHFOANOHwh8,508782,156,2018,7.59,data science,beginner
The Data Science Workflow Explained,Machine Learning Street Talk,https://www.youtube.com/watch?v=RBSUwFGa6Fk,206056,177,2023,8.36,data science,beginner
Data Science Project from Scratch,The AI Epiphany,https://www.youtube.com/watch?v=ynx48f7LhCc,1451356,145,2025,9.33,data science,beginner
Data Science Interview Prep – All Topics,Corey Schafer,https://www.youtube.com/watch?v=_P7X8tMplsw,40720,95,2022,9.29,data science,beginner
Data Science Full Course 2024 – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=d2kxUVwWWwU,135817,111,2021,7.53,data science,intermediate
Exploratory Data Analysis with Pandas – Intermediate,DeepMind,https://www.youtube.com/watch?v=xi0vhXFPegw,13885,55,2021,9.83,data science,intermediate
The Data Science Workflow Explained – Intermediate,AI Explained,https://www.youtube.com/watch?v=Vxw0nE1qfZc,18784,171,2025,9.8,data science,intermediate
Data Science Project from Scratch – Intermediate,CodeEmporium,https://www.youtube.com/watch?v=6EmjRXUcARc,260222,152,2022,7.02,data science,intermediate
Data Science Interview Prep – All Topics – Intermediate,Python Engineer,https://www.youtube.com/watch?v=0K_eZGS5NsU,27945,33,2021,8.63,data science,intermediate
Data Science Full Course 2024 – Advanced,Data School,https://www.youtube.com/watch?v=QISvmiwOIYI,582825,75,2021,8.91,data science,advanced
Exploratory Data Analysis with Pandas – Advanced,Krish Naik,https://www.youtube.com/watch?v=dP170R-wO-8,139479,77,2025,7.91,data science,advanced
The Data Science Workflow Explained – Advanced,freeCodeCamp.org,https://www.youtube.com/watch?v=PcbuKRNtCUc,491067,140,2025,7.11,data science,advanced
Data Science Project from Scratch – Advanced,Yannic Kilcher,https://www.youtube.com/watch?v=dND-7llwrpw,1778567,88,2022,8.09,data science,advanced
Data Science Interview Prep – All Topics – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=kI4yxAL2wtM,498836,81,2025,8.42,data science,advanced
Statistics for Data Science – Full Course,Krish Naik,https://www.youtube.com/watch?v=LZzq1zSL1bs,140101,135,2022,9.41,statistics,beginner
Probability Distributions Explained,freeCodeCamp.org,https://www.youtube.com/watch?v=xxpc-HPKN28,12233,8,2022,7.44,statistics,beginner
Hypothesis Testing Made Easy,DeepMind,https://www.youtube.com/watch?v=cn4S3QqEBRg,10009,89,2025,7.94,statistics,beginner
Central Limit Theorem Visually Explained,Lex Fridman,https://www.youtube.com/watch?v=zeJD6dqJ5lo,726363,170,2019,6.84,statistics,beginner
Statistics for Data Science – Full Course – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=Lv0xcdeXaGU,9368,69,2025,7.84,statistics,intermediate
Probability Distributions Explained – Intermediate,Tech With Tim,https://www.youtube.com/watch?v=b9a27XN_6tg,131634,131,2019,10.0,statistics,intermediate
Hypothesis Testing Made Easy – Intermediate,3Blue1Brown,https://www.youtube.com/watch?v=cn4S3QqEBRg,556191,64,2021,9.31,statistics,intermediate
Bayesian vs Frequentist Statistics – Intermediate,Andrej Karpathy,https://www.youtube.com/watch?v=JxgmHe2NyeY,22136,52,2021,9.12,statistics,intermediate
Central Limit Theorem Visually Explained – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=5HDTkOLHHds,1159298,65,2024,6.76,statistics,intermediate
Statistics for Data Science – Full Course – Advanced,Tech With Tim,https://www.youtube.com/watch?v=ua-CiDNNj30,28172,151,2023,6.59,statistics,advanced
Probability Distributions Explained – Advanced,Krish Naik,https://www.youtube.com/watch?v=LZzq1zSL1bs,22752,102,2024,7.86,statistics,advanced
Hypothesis Testing Made Easy – Advanced,Lex Fridman,https://www.youtube.com/watch?v=ChLO7wwt7h0,659035,99,2018,9.92,statistics,advanced
Bayesian vs Frequentist Statistics – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=JxgmHe2NyeY,561775,149,2021,9.4,statistics,advanced
Central Limit Theorem Visually Explained – Advanced,Krish Naik,https://www.youtube.com/watch?v=YAlJCEDH2uY,286995,68,2023,6.55,statistics,advanced
Python for Data Science – Crash Course,Machine Learning Street Talk,https://www.youtube.com/watch?v=0B5eIE_1vpU,2260612,15,2018,8.1,python programming,beginner
"Advanced Python – Decorators, Generators, Context Managers",CodeEmporium,https://www.youtube.com/watch?v=_ZvnD73m40o,208119,143,2022,9.98,python programming,beginner
Python OOP for Machine Learning Engineers,Corey Schafer,https://www.youtube.com/watch?v=JeznW_7DlB0,1054279,88,2024,9.05,python programming,beginner
Python Data Structures and Algorithms,3Blue1Brown,https://www.youtube.com/watch?v=g2o22C3CRfU,320193,39,2024,7.65,python programming,beginner
Python Virtual Environments & Packaging,Lex Fridman,https://www.youtube.com/watch?v=G5mtQhWNezQ,1018079,37,2022,8.45,python programming,beginner
Python for Data Science – Crash Course – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=7eh4d6sabA0,6159,97,2018,9.73,python programming,intermediate
"Advanced Python – Decorators, Generators, Context Managers – Intermediate",Data School,https://www.youtube.com/watch?v=BE-L7xu8pO4,4910772,29,2018,8.49,python programming,intermediate
Python OOP for Machine Learning Engineers – Intermediate,Krish Naik,https://www.youtube.com/watch?v=P4zmS8zm2m4,16105,178,2022,8.2,python programming,intermediate
Python Data Structures and Algorithms – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=O9v10jQkm5c,10700,151,2023,7.31,python programming,intermediate
Python Virtual Environments & Packaging – Intermediate,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=HMOI_lkzW08,2798419,100,2019,8.91,python programming,intermediate
Python for Data Science – Crash Course – Advanced,The AI Epiphany,https://www.youtube.com/watch?v=SstuvS-tVc0,233972,173,2020,7.72,python programming,advanced
Python OOP for Machine Learning Engineers – Advanced,3Blue1Brown,https://www.youtube.com/watch?v=-DP1i2ZU9gk,86532,31,2024,8.76,python programming,advanced
Python Data Structures and Algorithms – Advanced,Krish Naik,https://www.youtube.com/watch?v=YT3GoxjXhIc,274249,120,2020,8.98,python programming,advanced
Python Virtual Environments & Packaging – Advanced,freeCodeCamp.org,https://www.youtube.com/watch?v=Y21OR1OPC9A,1521465,46,2023,9.67,python programming,advanced
Data Visualization with Matplotlib & Seaborn,Corey Schafer,https://www.youtube.com/watch?v=XFZRVnP-MTU,4228569,142,2019,9.4,data visualization,beginner
Interactive Dashboards with Plotly,Krish Naik,https://www.youtube.com/watch?v=GGL6U0k8WYA,172357,142,2018,9.09,data visualization,beginner
Tableau for Data Scientists,Tech With Tim,https://www.youtube.com/watch?v=Vv1GvLczcc0,359913,80,2025,8.05,data visualization,beginner
Storytelling with Data – Best Practices,The AI Epiphany,https://www.youtube.com/watch?v=r5_34YnCmMY,2658012,162,2020,9.36,data visualization,beginner
Data Visualization with Matplotlib & Seaborn – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=r-uOLxNrNk8,518790,128,2020,7.5,data visualization,intermediate
Interactive Dashboards with Plotly – Intermediate,Lex Fridman,https://www.youtube.com/watch?v=hSPmj7mK6ng,79501,167,2025,7.97,data visualization,intermediate
Tableau for Data Scientists – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=n_mVK49hXB0,301574,25,2018,9.91,data visualization,intermediate
Storytelling with Data – Best Practices – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=Uh2ebFW8OYM,23343,172,2020,7.68,data visualization,intermediate
Advanced Seaborn Plots Explained – Intermediate,3Blue1Brown,https://www.youtube.com/watch?v=i8NETqtGHms,65051,147,2025,7.89,data visualization,intermediate
Data Visualization with Matplotlib & Seaborn – Advanced,Nicholas Renotte,https://www.youtube.com/watch?v=OZOOLe2imFo,82524,102,2022,8.92,data visualization,advanced
Interactive Dashboards with Plotly – Advanced,Python Engineer,https://www.youtube.com/watch?v=UVA64RMHxbI,20810,98,2024,8.06,data visualization,advanced
Tableau for Data Scientists – Advanced,Abhishek Thakur,https://www.youtube.com/watch?v=Wh4sCCZjOwo,735304,153,2018,7.84,data visualization,advanced
Storytelling with Data – Best Practices – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=CY1Y367KEko,161886,75,2022,8.47,data visualization,advanced
Advanced Seaborn Plots Explained – Advanced,Corey Schafer,https://www.youtube.com/watch?v=6GUZXDef2U0,1181870,82,2022,8.42,data visualization,advanced
NLP with Python – Complete Tutorial,AI Explained,https://www.youtube.com/watch?v=ygXn5nV5qFc,259269,41,2019,9.94,natural language processing,beginner
Text Classification with BERT,The AI Epiphany,https://www.youtube.com/watch?v=omuuEbcwm7s,2056,171,2020,9.23,natural language processing,beginner
Building a Chatbot from Scratch,The AI Epiphany,https://www.youtube.com/watch?v=yaG70VotukE,15604,40,2022,8.43,natural language processing,beginner
Tokenization and Embeddings Explained,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=viZrOnJclY0,576406,154,2024,7.24,natural language processing,beginner
Named Entity Recognition with spaCy,Two Minute Papers,https://www.youtube.com/watch?v=puCfvD09ZCw,108903,163,2020,7.21,natural language processing,beginner
NLP with Python – Complete Tutorial – Intermediate,Lex Fridman,https://www.youtube.com/watch?v=I2ZK3ngNvvI,45894,127,2025,9.99,natural language processing,intermediate
Text Classification with BERT – Intermediate,Yannic Kilcher,https://www.youtube.com/watch?v=-9evrZnBorM,45516,19,2024,7.91,natural language processing,intermediate
Building a Chatbot from Scratch – Intermediate,Krish Naik,https://www.youtube.com/watch?v=HCSPIH3I-vc,27588,101,2020,7.69,natural language processing,intermediate
Tokenization and Embeddings Explained – Intermediate,Machine Learning Street Talk,https://www.youtube.com/watch?v=my5wFNQpFO0,58356,84,2023,8.66,natural language processing,intermediate
NLP with Python – Complete Tutorial – Advanced,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=viZrOnJclY0,114913,60,2024,7.95,natural language processing,advanced
Text Classification with BERT – Advanced,Two Minute Papers,https://www.youtube.com/watch?v=NC9nTxn6aos,121002,172,2022,8.41,natural language processing,advanced
Building a Chatbot from Scratch – Advanced,Tech With Tim,https://www.youtube.com/watch?v=bTMPwUgLZf0,3866213,81,2019,9.03,natural language processing,advanced
Tokenization and Embeddings Explained – Advanced,freeCodeCamp.org,https://www.youtube.com/watch?v=JEBDfGqrAUA,479100,77,2022,9.4,natural language processing,advanced
Named Entity Recognition with spaCy – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=QZV6f2TI27w,1948075,129,2025,9.77,natural language processing,advanced
Computer Vision with OpenCV – Full Course,Two Minute Papers,https://www.youtube.com/watch?v=puB-4LuRNys,28712,17,2024,9.77,computer vision,beginner
Object Detection with YOLOv8,AI Explained,https://www.youtube.com/watch?v=ag3DLKsl2vk,345746,137,2025,6.97,computer vision,beginner
Image Segmentation Explained,Machine Learning Street Talk,https://www.youtube.com/watch?v=5QUmlXBb0MY,1647182,179,2019,6.8,computer vision,beginner
CNNs for Image Classification,Tech With Tim,https://www.youtube.com/watch?v=dwukLOPpaHw,329460,86,2020,6.91,computer vision,beginner
Real-Time Face Recognition in Python,Andrej Karpathy,https://www.youtube.com/watch?v=I2ZK3ngNvvI,37996,145,2021,9.69,computer vision,beginner
Computer Vision with OpenCV – Full Course – Intermediate,DeepMind,https://www.youtube.com/watch?v=01sAkU_NvOY,218253,141,2025,7.65,computer vision,intermediate
Object Detection with YOLOv8 – Intermediate,Data School,https://www.youtube.com/watch?v=hHyHmOtmEgs,578530,63,2019,9.36,computer vision,intermediate
Image Segmentation Explained – Intermediate,Python Engineer,https://www.youtube.com/watch?v=5QUmlXBb0MY,3090,104,2024,8.07,computer vision,intermediate
CNNs for Image Classification – Intermediate,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=QzY57FaENXg,3461608,116,2024,9.02,computer vision,intermediate
Real-Time Face Recognition in Python – Intermediate,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=HGwBXDKFk9I,62693,122,2018,8.58,computer vision,intermediate
Computer Vision with OpenCV – Full Course – Advanced,CodeEmporium,https://www.youtube.com/watch?v=ag3DLKsl2vk,454037,85,2020,7.62,computer vision,advanced
Object Detection with YOLOv8 – Advanced,Tech With Tim,https://www.youtube.com/watch?v=ag3DLKsl2vk,686524,46,2022,7.96,computer vision,advanced
Image Segmentation Explained – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=yCC09vCHzF8,97355,28,2025,7.66,computer vision,advanced
CNNs for Image Classification – Advanced,AI Explained,https://www.youtube.com/watch?v=QzY57FaENXg,47700,85,2018,9.67,computer vision,advanced
Real-Time Face Recognition in Python – Advanced,Data School,https://www.youtube.com/watch?v=mPZdL2xGI_g,67642,74,2023,7.76,computer vision,advanced
Reinforcement Learning from Scratch,Andrej Karpathy,https://www.youtube.com/watch?v=36OBX5lQjGc,455773,58,2023,7.53,reinforcement learning,beginner
Q-Learning Explained Simply,Tech With Tim,https://www.youtube.com/watch?v=q5HiD5PNuck,2814,146,2018,8.21,reinforcement learning,beginner
Deep Q-Network (DQN) Tutorial,Abhishek Thakur,https://www.youtube.com/watch?v=dF9Wbw6CBKg,52135,165,2025,8.83,reinforcement learning,beginner
Policy Gradient Methods – Step by Step,Two Minute Papers,https://www.youtube.com/watch?v=KHZVXao4qXs,36651,98,2022,8.34,reinforcement learning,beginner
RL in Game Playing Agents,3Blue1Brown,https://www.youtube.com/watch?v=vXtfdGphr3c,17207,22,2018,8.43,reinforcement learning,beginner
Reinforcement Learning from Scratch – Intermediate,CodeEmporium,https://www.youtube.com/watch?v=9JZID-h6ZJ0,149019,79,2018,6.76,reinforcement learning,intermediate
Q-Learning Explained Simply – Intermediate,Nicholas Renotte,https://www.youtube.com/watch?v=Mut_u40Sqz4,610533,43,2019,7.84,reinforcement learning,intermediate
Deep Q-Network (DQN) Tutorial – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=GJJc1t0rtSU,956106,149,2024,7.3,reinforcement learning,intermediate
Policy Gradient Methods – Step by Step – Intermediate,Nicholas Renotte,https://www.youtube.com/watch?v=Mut_u40Sqz4,80499,86,2025,6.52,reinforcement learning,intermediate
RL in Game Playing Agents – Intermediate,Corey Schafer,https://www.youtube.com/watch?v=ORMx45xqWkA,42653,151,2021,9.04,reinforcement learning,intermediate
Reinforcement Learning from Scratch – Advanced,freeCodeCamp.org,https://www.youtube.com/watch?v=K2qjAixgLqk,156753,42,2022,8.1,reinforcement learning,advanced
Q-Learning Explained Simply – Advanced,Machine Learning Street Talk,https://www.youtube.com/watch?v=PeMlggyqz0Y,1574945,133,2021,8.93,reinforcement learning,advanced
Deep Q-Network (DQN) Tutorial – Advanced,DeepMind,https://www.youtube.com/watch?v=XD0g2iBC80k,120816,112,2025,8.92,reinforcement learning,advanced
Policy Gradient Methods – Step by Step – Advanced,Python Engineer,https://www.youtube.com/watch?v=Uwlkiwjy-sg,332883,145,2019,7.76,reinforcement learning,advanced
RL in Game Playing Agents – Advanced,Krish Naik,https://www.youtube.com/watch?v=36OBX5lQjGc,175628,155,2021,8.53,reinforcement learning,advanced
Neural Networks – Complete Beginner Guide,Andrej Karpathy,https://www.youtube.com/watch?v=VMj-3S1tku0,73706,141,2025,9.24,neural networks,beginner
Mastering Neural Networks in 2024,Lex Fridman,https://www.youtube.com/watch?v=I2ZK3ngNvvI,183958,117,2025,7.66,neural networks,beginner
Neural Networks – Intermediate Concepts,DeepMind,https://www.youtube.com/watch?v=2v0RQntQBng,12491,155,2019,9.29,neural networks,beginner
Advanced Neural Networks Techniques,Krish Naik,https://www.youtube.com/watch?v=d2kxUVwWWwU,5554,180,2022,8.66,neural networks,beginner
Neural Networks – Project Walkthrough,Python Engineer,https://www.youtube.com/watch?v=cAkMcPfY_Ns,8450,173,2020,8.93,neural networks,beginner
Neural Networks – Complete Beginner Guide – Intermediate,The AI Epiphany,https://www.youtube.com/watch?v=7q_OJvQQ7vY,395873,121,2025,8.22,neural networks,intermediate
Neural Networks – Intermediate Concepts – Intermediate,Lex Fridman,https://www.youtube.com/watch?v=I2ZK3ngNvvI,3663,164,2024,8.91,neural networks,intermediate
Advanced Neural Networks Techniques – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=i_LwzRVP7bg,3979065,32,2020,9.65,neural networks,intermediate
Neural Networks – Project Walkthrough – Intermediate,Nicholas Renotte,https://www.youtube.com/watch?v=doDUihpj6ro,149404,114,2024,7.44,neural networks,intermediate
Neural Networks – Complete Beginner Guide – Advanced,Sentdex,https://www.youtube.com/watch?v=ORMx45xqWkA,702988,99,2019,8.82,neural networks,advanced
Mastering Neural Networks in 2024 – Advanced,3Blue1Brown,https://www.youtube.com/watch?v=aircAruvnKk,725,31,2023,9.57,neural networks,advanced
Neural Networks – Intermediate Concepts – Advanced,Yannic Kilcher,https://www.youtube.com/watch?v=dND-7llwrpw,4610,121,2018,8.32,neural networks,advanced
Advanced Neural Networks Techniques – Advanced,Data School,https://www.youtube.com/watch?v=7mWCscJVoCI,443304,44,2019,9.98,neural networks,advanced
Neural Networks – Project Walkthrough – Advanced,Krish Naik,https://www.youtube.com/watch?v=d2kxUVwWWwU,39790,97,2024,9.06,neural networks,advanced
Feature Engineering for Machine Learning,Data School,https://www.youtube.com/watch?v=xhiqLYx3R08,12442,108,2022,7.16,feature engineering,beginner
Handling Missing Data Like a Pro,Corey Schafer,https://www.youtube.com/watch?v=KdmPHEnPJPs,235558,128,2019,8.89,feature engineering,beginner
Categorical Encoding Techniques,Sentdex,https://www.youtube.com/watch?v=hl3bQySs8sM,461817,29,2022,7.03,feature engineering,beginner
Feature Selection Methods Compared,Lex Fridman,https://www.youtube.com/watch?v=I2ZK3ngNvvI,107879,87,2020,8.63,feature engineering,beginner
Building Automated Feature Pipelines,freeCodeCamp.org,https://www.youtube.com/watch?v=_ZvnD73m40o,402801,93,2024,9.65,feature engineering,beginner
Feature Engineering for Machine Learning – Intermediate,Krish Naik,https://www.youtube.com/watch?v=xhB-dmKmzRk,10335492,138,2018,6.9,feature engineering,intermediate
Handling Missing Data Like a Pro – Intermediate,Python Engineer,https://www.youtube.com/watch?v=HGOBQPFzWKo,46288,89,2022,9.71,feature engineering,intermediate
Categorical Encoding Techniques – Intermediate,Data School,https://www.youtube.com/watch?v=G2iVj7WKDFk,43223,59,2022,6.53,feature engineering,intermediate
Feature Selection Methods Compared – Intermediate,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=yIYKR4sgzI8,240756,10,2023,8.93,feature engineering,intermediate
Building Automated Feature Pipelines – Intermediate,Sentdex,https://www.youtube.com/watch?v=WvoLTXIjBYU,21242,113,2023,9.46,feature engineering,intermediate
Feature Engineering for Machine Learning – Advanced,Corey Schafer,https://www.youtube.com/watch?v=GduT2ZCc26E,1808495,91,2023,9.41,feature engineering,advanced
Handling Missing Data Like a Pro – Advanced,DeepMind,https://www.youtube.com/watch?v=1nd0CbaJD3E,119681,31,2020,9.48,feature engineering,advanced
Categorical Encoding Techniques – Advanced,Data School,https://www.youtube.com/watch?v=G2iVj7WKDFk,10924,148,2021,8.08,feature engineering,advanced
Feature Selection Methods Compared – Advanced,Sentdex,https://www.youtube.com/watch?v=y6gkJB5Pwmc,238253,13,2019,9.34,feature engineering,advanced
Building Automated Feature Pipelines – Advanced,Nicholas Renotte,https://www.youtube.com/watch?v=jztwpsIzEGc,159287,98,2021,7.99,feature engineering,advanced
Time Series Forecasting with Python,Nicholas Renotte,https://www.youtube.com/watch?v=KvLG1uTC-KU,34379,142,2021,9.6,time series analysis,beginner
ARIMA Model Explained,Two Minute Papers,https://www.youtube.com/watch?v=-_2wOrEuFaM,3203,99,2021,8.15,time series analysis,beginner
Prophet for Time Series – Full Tutorial,Tech With Tim,https://www.youtube.com/watch?v=fxx_E0ojKrc,37556,99,2018,7.61,time series analysis,beginner
LSTM for Time Series Prediction,3Blue1Brown,https://www.youtube.com/watch?v=b61DPVFX03I,50294,8,2023,8.34,time series analysis,beginner
Anomaly Detection in Time Series,The AI Epiphany,https://www.youtube.com/watch?v=jwZQD0Cqz4o,109264,42,2020,7.56,time series analysis,beginner
Time Series Forecasting with Python – Intermediate,Two Minute Papers,https://www.youtube.com/watch?v=GE3JOFwTWVM,33905,53,2018,7.53,time series analysis,intermediate
Prophet for Time Series – Full Tutorial – Intermediate,AI Explained,https://www.youtube.com/watch?v=GE3JOFwTWVM,13382,155,2021,9.26,time series analysis,intermediate
LSTM for Time Series Prediction – Intermediate,Sentdex,https://www.youtube.com/watch?v=S8tpSG6Q2H0,82429,119,2020,8.63,time series analysis,intermediate
Anomaly Detection in Time Series – Intermediate,AI Explained,https://www.youtube.com/watch?v=GE3JOFwTWVM,645417,117,2019,7.76,time series analysis,intermediate
Time Series Forecasting with Python – Advanced,Yannic Kilcher,https://www.youtube.com/watch?v=2h4tRsQzipQ,1028219,107,2020,8.75,time series analysis,advanced
ARIMA Model Explained – Advanced,Tech With Tim,https://www.youtube.com/watch?v=fxx_E0ojKrc,988918,66,2018,9.15,time series analysis,advanced
Prophet for Time Series – Full Tutorial – Advanced,The AI Epiphany,https://www.youtube.com/watch?v=j0eioK5edqg,269879,166,2020,8.5,time series analysis,advanced
LSTM for Time Series Prediction – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=yCC09vCHzF8,762761,25,2019,9.69,time series analysis,advanced
Anomaly Detection in Time Series – Advanced,Andrej Karpathy,https://www.youtube.com/watch?v=NGzQpphf_Vc,281393,33,2019,9.88,time series analysis,advanced
K-Means Clustering Explained,Andrej Karpathy,https://www.youtube.com/watch?v=7xTGNNLPyMI,580155,109,2023,7.91,clustering,beginner
Hierarchical Clustering from Scratch,Lex Fridman,https://www.youtube.com/watch?v=v7oLMvcxgFY,53069,114,2019,7.44,clustering,beginner
DBSCAN – Density-Based Clustering,Andrej Karpathy,https://www.youtube.com/watch?v=gs9E7E0qOIc,1230839,52,2021,8.49,clustering,beginner
Dimensionality Reduction for Clustering,StatQuest with Josh Starmer,https://www.youtube.com/watch?v=HMOI_lkzW08,28796,129,2023,8.06,clustering,beginner
Customer Segmentation with Python,Lex Fridman,https://www.youtube.com/watch?v=cLLsc4Hlo-8,374794,13,2018,7.93,clustering,beginner
K-Means Clustering Explained – Intermediate,Tech With Tim,https://www.youtube.com/watch?v=5FpsGnkbEpM,135951,141,2024,7.56,clustering,intermediate
Hierarchical Clustering from Scratch – Intermediate,freeCodeCamp.org,https://www.youtube.com/watch?v=PcbuKRNtCUc,5297456,174,2022,7.41,clustering,intermediate
DBSCAN – Density-Based Clustering – Intermediate,Data School,https://www.youtube.com/watch?v=RDZUdRSDOok,39354,17,2021,7.86,clustering,intermediate
Dimensionality Reduction for Clustering – Intermediate,Data School,https://www.youtube.com/watch?v=6tfccaoy34w,2163,54,2023,9.17,clustering,intermediate
Customer Segmentation with Python – Intermediate,CodeEmporium,https://www.youtube.com/watch?v=6EmjRXUcARc,336517,57,2019,8.15,clustering,intermediate
K-Means Clustering Explained – Advanced,Corey Schafer,https://www.youtube.com/watch?v=HGOBQPFzWKo,741917,93,2020,6.78,clustering,advanced
